ID,Year,Loan Limit,Gender,Approved in Advance,Loan Type,Loan Purpose,Credit Worthiness,Open Credit,Business Or Commercial,Loan Amount,Rate of Interest,Interest rate spread,Upfront charges,Term(months),Negative Ammortization,Interest Only,Lump Sum Payment,Property Value,Construction Type,Occupancy Type,Secured by,Total Units,Income,Credit Type,Credit Score,Co-applicant Credit Type,Min Age,Max Age,Submission of Application,Loan to Value,Region,Default Status,Debt-to-Income Ratio,LTV Risk Bucket,Credit Score Bucket,i
49802,2019,Conforming Loan,Female,Not Pre-Approved,Federal Housing Administration,Refinancing,Standard,No,Yes,"$116,500.00",4.99%,1.4474,"$2,463.12",360,No,No,No,"$138,000.00",Site-Built,Principal Residence,home,1U,"$1,740.00",EXP,679,CIB,45,54,Yes,84.42028986,North,No,41,High,Good ,
171958,2019,Conforming Loan,Unknown,Pre-Approved,Conventional,Cash-out Refinancing,Standard,No,No,"$236,500.00",3.99%,0.4417,"$2,517.59",360,No,No,No,"$268,000.00",Site-Built,Principal Residence,home,1U,"$5,880.00",EXP,853,EXP,25,34,Yes,88.24626866,South,No,44,High,Excellent,
148174,2019,Conforming Loan,Unknown,Not Pre-Approved,Conventional,Refinancing,Standard,No,No,"$136,500.00",3.99%,0.4522,"$3,900.00",348,No,No,No,"$708,000.00",Site-Built,Principal Residence,home,1U,"$2,340.00",CRIF,598,EXP,65,74,Yes,19.27966102,South,No,41,Low,Fair,
78500,2019,Conforming Loan,Female,Not Pre-Approved,Conventional,Refinancing,Standard,No,No,"$256,500.00",4.25%,0.622,"$3,437.50",180,No,No,No,"$708,000.00",Site-Built,Principal Residence,home,1U,"$5,640.00",EXP,776,EXP,65,74,Yes,36.22881356,North,No,32,Low,Very Good,
64562,2019,Conforming Loan,Female,Not Pre-Approved,Conventional,Home Purchase,Standard,No,No,"$686,500.00",3.38%,-0.2241,$0.00,360,No,No,No,"$838,000.00",Site-Built,Principal Residence,home,1U,"$7,140.00",EXP,653,CIB,35,44,No,81.92124105,North,No,48,High,Fair,
29546,2019,Conforming Loan,Male,Not Pre-Approved,Conventional,Cash-out Refinancing,Standard,No,No,"$286,500.00",3.69%,-0.0084,$0.00,360,No,No,No,"$758,000.00",Site-Built,Principal Residence,home,1U,"$4,800.00",EXP,855,CIB,35,44,No,37.79683377,North,No,36,Low,Excellent,
63333,2019,Conforming Loan,Male,Not Pre-Approved,Conventional,Cash-out Refinancing,Standard,No,No,"$566,500.00",4.00%,0.0554,"$5,630.00",360,No,No,No,"$758,000.00",Site-Built,Principal Residence,home,1U,"$7,620.00",CRIF,514,CIB,35,44,No,74.73614776,North,No,32,Moderate,Poor ,
114313,2019,Conforming Loan,Unknown,Not Pre-Approved,Conventional,Home Purchase,Standard,No,No,"$286,500.00",3.38%,0.1312,"$2,887.18",360,No,No,No,"$308,000.00",Site-Built,Principal Residence,home,1U,"$7,860.00",CIB,890,CIB,45,54,Yes,93.01948052,South,No,31,High,Excellent,
66799,2019,Conforming Loan,Unknown,Pre-Approved,Conventional,Refinancing,Standard,No,No,"$266,500.00",4.13%,0.4472,"$2,597.50",360,No,No,No,"$388,000.00",Site-Built,Principal Residence,home,1U,"$4,800.00",EXP,667,CIB,65,74,Yes,68.68556701,South,No,37,Moderate,Fair,
82180,2019,Conforming Loan,Female,Not Pre-Approved,Conventional,Refinancing,Standard,No,No,"$136,500.00",3.63%,0.8731,"$3,901.00",240,No,No,No,"$228,000.00",Site-Built,Principal Residence,home,1U,"$4,200.00",CIB,541,CIB,45,54,Yes,59.86842105,North,No,23,Low,Poor ,
131912,2019,Conforming Loan,Female,Not Pre-Approved,Conventional,Refinancing,Standard,No,No,"$486,500.00",4.56%,0.692,$0.00,360,No,No,No,"$618,000.00",Site-Built,Principal Residence,home,1U,"$5,040.00",CRIF,631,CIB,45,54,No,78.72168285,North,No,44,Moderate,Fair,
132894,2019,Conforming Loan,Female,Pre-Approved,Conventional,Cash-out Refinancing,Standard,No,No,"$446,500.00",3.75%,-0.0266,$0.00,360,No,No,No,"$858,000.00",Site-Built,Secondary Residence,home,1U,"$13,500.00",CIB,899,CIB,65,74,No,52.03962704,North,No,13,Low,Excellent,
96431,2019,Conforming Loan,Joint,Not Pre-Approved,Conventional,Home Purchase,Non-Standard,No,No,"$196,500.00",4.56%,0.6441,"$3,099.04",360,No,No,No,"$258,000.00",Site-Built,Principal Residence,home,1U,"$2,340.00",EXP,632,EXP,35,44,Yes,76.1627907,North,No,49,Moderate,Fair,
28727,2019,non Conforming Loan,Male,Not Pre-Approved,Conventional,Cash-out Refinancing,Standard,No,No,"$186,500.00",3.99%,0.3831,$0.00,240,Yes,No,No,"$418,000.00",Site-Built,Principal Residence,home,1U,"$6,360.00",EQUI,515,EXP,25,34,Yes,44.61722488,North,Yes,39,Low,Poor ,
99615,2019,non Conforming Loan,Joint,Pre-Approved,Veterans Affairs,Refinancing,Standard,No,No,"$756,500.00",3.99%,0.2609,"$3,750.00",360,No,No,No,"$898,000.00",Site-Built,Principal Residence,home,1U,"$15,660.00",EXP,891,EXP,55,64,No,84.24276169,Central,No,39,High,Excellent,
32768,2019,Conforming Loan,Male,Not Pre-Approved,Veterans Affairs,Cash-out Refinancing,Standard,No,No,"$586,500.00",3.25%,-0.456,$46.90,360,No,No,No,"$828,000.00",Site-Built,Principal Residence,home,1U,"$5,760.00",CIB,629,CIB,65,74,No,70.83333333,North,No,39,Moderate,Fair,
102033,2019,Conforming Loan,Female,Not Pre-Approved,Conventional,Refinancing,Standard,No,No,"$146,500.00",4.13%,1.022,"$4,210.00",180,No,No,No,"$188,000.00",Site-Built,Principal Residence,home,1U,"$5,940.00",CRIF,687,EXP,45,54,Yes,77.92553191,North,No,49,Moderate,Good ,
131974,2019,Conforming Loan,Joint,Not Pre-Approved,Conventional,Home Purchase,Non-Standard,No,No,"$706,500.00",3.99%,0.3831,$0.00,360,No,No,No,"$828,000.00",Site-Built,Principal Residence,home,1U,"$6,480.00",CRIF,682,EXP,55,64,No,85.32608696,North,Yes,58,High,Good ,
56714,2019,Conforming Loan,Male,Not Pre-Approved,Conventional,Cash-out Refinancing,Standard,No,No,"$426,500.00",3.75%,0.0291,"$1,258.25",360,No,No,No,"$578,000.00",Site-Built,Principal Residence,home,1U,"$6,300.00",CRIF,829,CIB,25,34,No,73.78892734,North,No,41,Moderate,Excellent,
73024,2019,Conforming Loan,Unknown,Not Pre-Approved,Veterans Affairs,Cash-out Refinancing,Standard,No,No,"$316,500.00",3.88%,0.2422,$0.00,360,No,No,No,"$308,000.00",Site-Built,Principal Residence,home,1U,"$5,760.00",EXP,713,CIB,35,44,Yes,102.7597403,South,No,39,Very High,Good ,
125577,2019,Conforming Loan,Male,Pre-Approved,Conventional,Home Purchase,Standard,No,No,"$176,500.00",4.63%,0.4461,"$3,331.29",360,Yes,No,No,"$178,000.00",Site-Built,Principal Residence,home,1U,"$3,840.00",CRIF,890,CIB,25,34,Yes,99.15730337,North,No,24,High,Excellent,
54638,2019,Conforming Loan,Joint,Not Pre-Approved,Federal Housing Administration,Home Purchase,Standard,No,Yes,"$226,500.00",3.99%,0.3831,$0.00,360,No,No,No,"$238,000.00",Site-Built,Principal Residence,home,1U,"$6,300.00",CIB,617,EXP,25,34,Yes,95.16806723,North,Yes,39,High,Fair,
71221,2019,Conforming Loan,Unknown,Not Pre-Approved,Conventional,Refinancing,Standard,No,No,"$236,500.00",4.25%,0.7527,"$7,596.88",360,No,No,Yes,"$288,000.00",Site-Built,Principal Residence,home,1U,"$4,440.00",CRIF,597,CIB,55,64,Yes,82.11805556,South,No,44,High,Fair,
114053,2019,Conforming Loan,Joint,Not Pre-Approved,Conventional,Home Purchase,Standard,No,No,"$446,500.00",3.99%,-0.105,$321.40,360,No,No,No,"$558,000.00",Site-Built,Principal Residence,home,1U,"$7,860.00",CIB,707,EXP,45,54,No,80.01792115,South,No,38,High,Good ,
